,realgm_link,id,name,pos,height,weight,final_school,dob_code,added_birthdays,bday,hometown,highest_level,rsci_year,rsci_rank,year247,rank247,max_pred_wingspan,avg_pred_wingspan,max_wingspan,avg_wingspan,last_cbb_year,"ncaa_seasons
(d-i)",nba_seasons,intl_seasons,gl_seasons,sl_seasons,intl_before_college,sports-reference_id_1,sports-reference_id_2,Unnamed: 29
6002,/player/Alex-Acker/Summary/158,158,Alex Acker,SG,77,185,Pepperdine,19830121.0,,1/21/1983,Compton (CA),NBA,,,,,79.12,78.95,84,84,2005.0,3,2,10,1,3,,,,
6003,/player/Hassan-Adams/Summary/119,119,Hassan Adams,G,76,220,Arizona,19840620.0,,6/20/1984,Inglewood (CA),NBA,2002.0,22.0,,,80.9,80.58,Not Available,Not Available,2006.0,4,2,4,0,2,,,,
6004,/player/Maurice-Ager/Summary/89,89,Maurice Ager,F-G,77,202,Michigan State,19840209.0,,2/9/1984,Detroit (MI),NBA,2002.0,56.0,,,79.82,79.48,79.75,79.75,2006.0,4,4,1,2,5,,,,
6005,/player/Tony-Allen/Summary/391,391,Tony Allen,SG,76,213,Oklahoma State,19820111.0,,1/11/1982,Chicago (IL),NBA,,,,,80.4,80.39,81,81,2004.0,2,14,0,0,2,,,,
6006,/player/Lou-Amundson/Summary/868,868,Lou Amundson,PF,81,220,UNLV,19821207.0,,12/7/1982,Ventura (CA),NBA,,,,,85.31,84.63,83.5,83.5,2006.0,5,10,2,0,3,,,,
6007,/player/Alan-Anderson/Summary/939,939,Alan Anderson,GF,78,220,Michigan State,19821016.0,,10/16/1982,Minneapolis (MN),NBA,,,,,80.6,80.35,81.5,81.5,2005.0,4,8,5,3,5,,,,
6008,/player/Carmelo-Anthony/Summary/452,452,Carmelo Anthony,F,80,240,Syracuse,19840529.0,,5/29/1984,New York (NY),NBA,2002.0,2.0,,,82.94,82.94,84,84,2003.0,1,15,0,0,0,,,,
6009,/player/Hilton-Armstrong/Summary/80,80,Hilton Armstrong,C,83,235,Connecticut,19841123.0,,11/23/1984,Peekskill (NY),NBA,,,,,85.98,85.33,88,88,2006.0,4,6,6,2,4,,,,
6010,/player/James-Augustine/Summary/104,104,James Augustine,FC,82,235,Illinois,19840227.0,,2/27/1984,Midlothian (IL),NBA,2002.0,79.0,,,84.61,84.3,84.25,84.25,2006.0,4,2,10,0,5,,,,
6011,/player/Kelenna-Azubuike/Summary/791,791,Kelenna Azubuike,F-G,77,220,Kentucky,19831216.0,,12/16/1983,London,NBA,2002.0,33.0,,,80.44,80.3,Not Available,Not Available,2005.0,3,5,0,1,3,,,,
6012,/player/Marcus-Banks/Summary/454,454,Marcus Banks,G,74,200,UNLV,19811119.0,,11/19/1981,Las Vegas (NV),NBA,,,,,77.83,77.83,Not Available,Not Available,2003.0,2,8,3,1,2,,,,
6013,/player/JJ-Barea/Summary/298,298,J.J. Barea,G,72,185,Northeastern,19840626.0,,6/26/1984,Mayaguez (PR),NBA,,,,,75.63,74.99,70.75,70.75,2006.0,4,12,0,0,2,,,,
6014,/player/Andre-Barrett/Summary/1072,1072,Andre Barrett,PG,70,173,Seton Hall,19820221.0,,2/21/1982,Bronx (NY),NBA,,,,,73.78,73.6,73,73,2004.0,4,4,4,4,3,,,,
6015,/player/Earl-Barron/Summary/879,879,Earl Barron,C,84,250,Memphis,19810814.0,,8/14/1981,Clarksdale (MS),NBA,,,,,84.64,84.64,Not Available,Not Available,2003.0,4,8,2,3,2,,,,
6016,/player/Eddie-Basden/Summary/925,925,Eddie Basden,G,77,215,Charlotte,19830215.0,,2/15/1983,New York (NY),NBA,,,,,80.86,80.73,82.25,82.25,2005.0,4,1,5,1,3,,,,
6017,/player/Troy-Bell/Summary/456,456,Troy Bell,G,73,180,Boston College,19801110.0,,11/10/1980,Minneapolis (MN),NBA,,,,,76.01,76.01,77,77,2003.0,4,1,8,0,1,,,,
6018,/player/Steve-Blake/Summary/471,471,Steve Blake,G,75,172,Maryland,19800226.0,,2/26/1980,Hollywood (FL),NBA,,,,,75.58,75.58,Not Available,Not Available,2003.0,4,13,1,0,1,,,,
6019,/player/Tony-Bobbitt/Summary/1163,1163,Tony Bobbitt,G,76,205,Cincinnati,19791022.0,,10/22/1979,Daytona Beach (FL),NBA,,,,,78.35,78.27,79,79,2004.0,4,1,1,4,1,,,,
6020,/player/Keith-Bogans/Summary/475,475,Keith Bogans,GF,77,215,Kentucky,19800512.0,,5/12/1980,Alexandria (VA),NBA,,,,,79.53,79.53,81.25,81.25,2003.0,4,11,0,1,2,,,,
6021,/player/Matt-Bonner/Summary/271,271,Matt Bonner,FC,82,235,Florida,19800405.0,,4/5/1980,Concord (NH),NBA,,,,,83.27,83.27,80.75,80.75,2003.0,4,12,0,0,0,,,,
6022,/player/Chris-Bosh/Summary/451,451,Chris Bosh,PF,83,235,Georgia Tech,19840324.0,,3/24/1984,Dallas (TX),NBA,2002.0,6.0,,,85.27,85.27,87.5,87.5,2003.0,1,13,0,0,0,,,,
6023,/player/Cedric-Bozeman/Summary/1083,1083,Cedric Bozeman,G,78,215,UCLA,19830307.0,,3/7/1983,Los Angeles (CA),NBA,,,,,80.6,80.29,Not Available,Not Available,2006.0,5,1,4,2,3,,,,
6024,/player/Andre-Brown/Summary/185,185,Andre Brown,FC,81,245,DePaul,19810512.0,,5/12/1981,Chicago (IL),NBA,,,,,84.6,84.42,83,83,2004.0,4,3,2,1,5,,,,
6025,/player/Dee-Brown/Summary/111,111,Dee Brown,G,72,185,Illinois,19840817.0,,8/17/1984,Jackson (MS),NBA,2002.0,21.0,,,75.64,75.37,74,74,2006.0,4,2,7,0,4,,,,
6026,/player/Antonio-Burks/Summary/409,409,Antonio Burks,G,73,200,Memphis,19800205.0,,2/5/1980,Memphis (TN),NBA,,,,,77.17,76.79,78.5,78.5,2004.0,3,2,0,0,0,,,,
6027,/player/Kevin-Burleson/Summary/1089,1089,Kevin Burleson,G,75,205,Minnesota,19790904.0,,9/4/1979,Seattle (WA),NBA,,,,,78.08,78.08,Not Available,Not Available,2003.0,4,1,0,1,2,,,,
6028,/player/Derrick-Byars/Summary/29,29,Derrick Byars,SF,79,220,Virginia,19840425.0,,4/25/1984,Memphis (TN),NBA,2002.0,60.0,,,81.52,81.03,Not Available,Not Available,2007.0,4,1,9,5,5,,,,
6029,/player/Will-Bynum/Summary/844,844,Will Bynum,G,72,185,Arizona,19830104.0,,1/4/1983,Chicago (IL),NBA,,,,,75.83,75.72,75.5,75.5,2005.0,4,8,4,1,3,,,,
6030,/player/Rodney-Carney/Summary/87,87,Rodney Carney,F,79,205,Memphis,19840405.0,,4/5/1984,Memphis (TN),NBA,,,,,81.69,81.25,82,82,2006.0,4,5,5,1,3,,,,
6031,/player/Matt-Carroll/Summary/318,318,Matt Carroll,GF,78,212,Notre Dame,19800828.0,,8/28/1980,Horsham (PA),NBA,,,,,80.05,80.05,78.5,78.5,2003.0,4,10,0,0,1,,,,
6032,/player/Lionel-Chalmers/Summary/412,412,Lionel Chalmers,G,72,180,Xavier,19801110.0,,11/10/1980,Albany (NY),NBA,,,,,75.67,75.41,Not Available,Not Available,2004.0,4,1,5,0,2,,,,
6033,/player/Josh-Childress/Summary/310,310,Josh Childress,SF,80,210,Stanford,19830620.0,,6/20/1983,Harbor City (IL),NBA,,,,,82.37,82.23,83,83,2004.0,3,8,6,1,2,,,,
6034,/player/Mardy-Collins/Summary/88,88,Mardy Collins,G,78,220,Temple,19840804.0,,8/4/1984,Philadelphia (PA),NBA,,,,,81.11,80.96,82,82,2006.0,4,4,7,1,3,,,,
6035,/player/Nick-Collison/Summary/292,292,Nick Collison,FC,82,255,Kansas,19801026.0,,10/26/1980,Orange City (IA),NBA,,,,,84.99,84.99,85.5,85.5,2003.0,4,14,0,0,1,,,,
6036,/player/Will-Conroy/Summary/1062,1062,Will Conroy,G,74,195,Washington,19821208.0,,12/8/1982,Portland (OR),NBA,,,,,77.23,76.61,75,75,2005.0,4,3,2,4,3,,,,
6037,/player/Brian-Cook/Summary/462,462,Brian Cook,PF,81,234,Illinois,19801204.0,,12/4/1980,Lincoln (IL),NBA,,,,,82.85,82.85,86,86,2003.0,4,9,3,0,1,,,,
6038,/player/Chris-Copeland/Summary/4094,4094,Chris Copeland,PF,80,235,Colorado,19840317.0,,3/17/1984,Orange (NJ),NBA,,,,,82.88,82.62,Not Available,Not Available,2006.0,4,4,5,0,1,,,,
6039,/player/Babby-Araujo/Summary/378,378,Rafael Araujo,C,83,280,Brigham Young,19800812.0,,8/12/1980,Curitiba,NBA,,,,,85.8,85.67,Not Available,Not Available,2004.0,2,3,3,0,2,,,,
6040,/player/Erik-Daniels/Summary/1120,1120,Erik Daniels,F,80,214,Kentucky,19820401.0,,4/1/1982,Cincinnati (OH),NBA,,,,,82.08,82.03,83,83,2004.0,4,1,5,3,4,,,,
6041,/player/Marquis-Daniels/Summary/243,243,Marquis Daniels,SF,78,200,Auburn,19810107.0,,1/7/1981,Jasper (FL),NBA,,,,,80.73,80.73,82,82,2003.0,4,10,0,0,2,,,,
6042,/player/Paul-Davis/Summary/98,98,Paul Davis,FC,83,270,Michigan State,19840721.0,,7/21/1984,Rochester (MI),NBA,2002.0,8.0,,,85.31,84.83,Not Available,Not Available,2006.0,4,4,7,1,3,,,,
6043,/player/Travis-Diener/Summary/131,131,Travis Diener,PG,73,174,Marquette,19820301.0,,3/1/1982,Fond du Lac (WI),NBA,,,,,74.86,74.46,71.75,71.75,2005.0,4,5,5,0,2,,,,
6044,/player/Ike-Diogu/Summary/94,94,Ike Diogu,PF,80,255,Arizona State,19830911.0,,9/11/1983,Buffalo (NY),NBA,2002.0,52.0,,,84.14,83.79,87.5,87.5,2005.0,3,6,7,1,3,,,,
6045,/player/Chris-Duhon/Summary/213,213,Chris Duhon,G,73,190,Duke,19820831.0,,8/31/1982,Mamou (LA),NBA,,,,,76.55,76.39,78.5,78.5,2004.0,4,9,0,0,1,,,,
6046,/player/Ronald-Dupree/Summary/291,291,Ronald Dupree,F,79,209,LSU,19810126.0,,1/26/1981,Biloxi (MS),NBA,,,,,81.38,81.38,80.25,80.25,2003.0,4,6,3,4,3,,,,
6047,/player/Pops-Mensah-Bonsu/Summary/1034,1034,Pops Mensah-Bonsu,F,81,235,George Washington,19830907.0,,9/7/1983,London,NBA,,,,,84.66,84.31,84,84,2006.0,4,4,8,1,3,,,,
6048,/player/John-Edwards/Summary/1051,1051,John Edwards,C,84,275,Kent State,19810731.0,,7/31/1981,Warren (OH),NBA,,,,,86.55,85.99,88.5,88.5,2004.0,4,2,2,2,3,,,,
6049,/player/Andre-Emmett/Summary/410,410,Andre Emmett,GF,77,224,Texas Tech,19820827.0,,8/27/1982,Dallas (TX),NBA,,,,,81.3,81.14,81,81,2004.0,4,2,7,3,4,,,,
6050,/player/Daniel-Ewing/Summary/127,127,Daniel Ewing,G,75,185,Duke,19830326.0,,3/26/1983,Milton (FL),NBA,,,,,78.03,77.82,Not Available,Not Available,2005.0,4,2,11,0,4,,,,
6051,/player/Desmon-Farmer/Summary/874,874,Desmon Farmer,G,77,215,USC,19811007.0,,10/7/1981,Flint (MI),NBA,,,,,79.8,79.66,80.5,80.5,2004.0,4,2,3,3,5,,,,
6052,/player/Noel-Felix/Summary/335,335,Noel Felix,F-C,81,235,Fresno State,19811004.0,,10/4/1981,Los Angeles (CA),NBA,,,,,84.05,84.05,Not Available,Not Available,2003.0,4,1,3,3,5,,,,
6053,/player/Raymond-Felton/Summary/62,62,Raymond Felton,PG,73,205,North Carolina,19840626.0,,6/26/1984,Marion (SC),NBA,2002.0,3.0,,,76.94,76.87,76.25,76.25,2005.0,3,13,0,0,3,,,,
6054,/player/Gerald-Fitch/Summary/1016,1016,Gerald Fitch,G,75,188,Kentucky,19820812.0,,8/12/1982,Columbus (GA),NBA,,,,,77.94,77.73,Not Available,Not Available,2004.0,4,1,9,0,2,,,,
6055,/player/Luis-Flores/Summary/417,417,Luis Flores,G,74,205,Manhattan,19810411.0,,4/11/1981,San Pedro de Macoris,NBA,,,,,78.33,78.32,79.5,79.5,2004.0,4,1,5,0,3,,,,
6056,/player/Sharrod-Ford/Summary/1125,1125,Sharrod Ford,PF,81,242,Clemson,19820909.0,,9/9/1982,Washington (DC),NBA,,,,,84.95,84.74,85.5,85.5,2005.0,4,1,9,1,3,,,,
6057,/player/TJ-Ford/Summary/447,447,T.J. Ford,PG,72,165,Texas,19830324.0,,3/24/1983,Houston (TX),NBA,,,,,73.81,73.81,71.5,71.5,2003.0,2,8,1,0,0,,,,
6058,/player/Randy-Foye/Summary/79,79,Randy Foye,G,76,218,Villanova,19830924.0,,9/24/1983,Newark (NJ),NBA,2002.0,58.0,,,79.73,79.57,78.25,78.25,2006.0,4,11,0,0,2,,,,
6059,/player/Matt-Freije/Summary/408,408,Matt Freije,FC,82,240,Vanderbilt,19811002.0,,10/2/1981,Bismarck (ND),NBA,,,,,82.97,82.87,85,85,2004.0,4,2,3,0,6,,,,
6060,/player/Channing-Frye/Summary/84,84,Channing Frye,FC,83,255,Arizona,19830517.0,,5/17/1983,White Plains (NY),NBA,,,,,85.44,84.94,86.5,86.5,2005.0,4,12,0,0,2,,,,
6061,/player/Deng-Gai/Summary/1126,1126,Deng Gai,F,81,250,Fairfield,19820322.0,,3/22/1982,Wow,NBA,,,,,85.7,85.51,88.5,88.25,2005.0,4,1,1,0,0,,,,
6062,/player/Reece-Gaines/Summary/455,455,Reece Gaines,G,78,210,Louisville,19810107.0,,1/7/1981,Madison (WI),NBA,,,,,79.38,79.38,Not Available,Not Available,2003.0,4,3,4,2,1,,,,
6063,/player/Francisco-Garcia/Summary/367,367,Francisco Garcia,GF,79,195,Louisville,19811231.0,,12/31/1981,Santo Domingo,NBA,2002.0,62.0,,,80.31,80.16,82.75,82.75,2005.0,3,10,1,0,3,,,,
6064,/player/Ryan-Gomes/Summary/136,136,Ryan Gomes,F,79,245,Providence,19820901.0,,9/1/1982,Waterbury (CT),NBA,,,,,82.8,82.18,86,86,2005.0,4,8,2,1,2,,,,
6065,/player/Ben-Gordon/Summary/214,214,Ben Gordon,SG,75,200,Connecticut,19830404.0,,4/4/1983,London,NBA,,,,,77.64,77.63,80.5,80.5,2004.0,3,11,0,1,1,,,,
6066,/player/Danny-Granger/Summary/242,242,Danny Granger,GF,81,222,Bradley,19830420.0,,4/20/1983,New Orleans (LA),NBA,,,,,84.08,83.77,85.5,85.5,2005.0,4,10,0,0,1,,,,
6067,/player/Devin-Green/Summary/875,875,Devin Green,GF,79,210,Hampton,19821025.0,,10/25/1982,Columbus (OH),NBA,,,,,81.99,81.59,Not Available,Not Available,2005.0,4,1,7,2,3,,,,
6068,/player/Willie-Green/Summary/474,474,Willie Green,SG,75,201,Detroit-Mercy,19810728.0,,7/28/1981,Detroit (MI),NBA,,,,,78.72,78.72,79.25,79.25,2003.0,4,12,0,0,0,,,,
6069,/player/Mike-Hall/Summary/1139,1139,Mike Hall,F,80,230,George Washington,19840605.0,,6/5/1984,Chicago (IL),NBA,,,,,82.39,82.12,86.25,86.25,2006.0,4,1,10,2,3,,,,
