,realgm_summary_page,highest_level_reached,season,school,league,conference,teamid,year,grade,gp,gs,mp,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,mp_tot,fgm_tot,fga_tot,fg3m_tot,fg3a_tot,ftm_tot,fta_tot,oreb_tot,dreb_tot,reb_tot,ast_tot,stl_tot,blk_tot,pf_tot,tov_tot,pts_tot,dbl_dbl,tpl_dbl,pts40,pts20,ast20,techs,hob,ast_to,stl_to,ft_fga,w,l,win_pct,ows,dws,ws,ts_pct,efg_pct,oreb_pct,dreb_pct,reb_pct,ast_pct,tov_pct,stl_pct,blk_pct,usg_pct,total_s_pct,ppr,pps,ortg,drtg,per,ff,realgm_link,id,name,pos,height,weight,final_school,dob_code,added_birthdays,bday,hometown,highest_level,rsci_year,rsci_rank,year247,rank247,max_pred_wingspan,avg_pred_wingspan,max_wingspan,avg_wingspan,last_cbb_year,"ncaa_seasons
(d-i)",nba_seasons,intl_seasons,gl_seasons,sl_seasons,intl_before_college,sports-reference_id_1,sports-reference_id_2,Unnamed: 29
0,/player/Tyler-Honeycutt/Summary/2376,NBA,2009-10,UCLA,ncaa,Pacific 10 Conference,241.0,2010.0,Fr,26,18,27.7,2.65,5.35,0.496,0.38,1.12,0.345,1.5,2.5,0.6,2.04,4.46,6.5,2.69,1.5,1.15,2.31,2.42,7.19,719.0,69,139,10,29,39,65,53,116,169,70,39,30,60,63,187,4.0,0.0,0.0,0.0,0.0,0.0,0.22,1.11,0.62,0.47,12.0,14.0,0.462,0.75,1.18,1.93,0.55,0.532,9.82,19.86,15.04,19.24,27.05,3.34,4.58,17.67,144.12,-2.35,1.35,100.5,98.8,16.72,9.009799999999998,/player/Tyler-Honeycutt/Summary/2376,2376,Tyler Honeycutt,F,80,190,UCLA,19900715.0,,7/15/1990,Los Angeles (CA),NBA,2009.0,34.0,2009.0,30.0,82.33,82.2,81,81,2011.0,2,2,5,2,3,,/cbb/players/tyler-honeycutt-1.html,,
1,/player/Tyler-Honeycutt/Summary/2376,NBA,2010-11,UCLA,ncaa,Pacific 10 Conference,241.0,2011.0,So,33,33,35.0,4.36,10.76,0.406,1.67,4.61,0.36200000000000004,2.36,3.21,0.736,1.52,5.7,7.21,2.82,0.88,2.0,1.58,3.03,12.76,1154.0,144,355,55,152,78,106,50,188,238,93,29,66,52,100,421,5.0,0.0,0.0,0.0,0.0,0.0,0.295,0.93,0.29,0.3,22.0,11.0,0.667,1.23,2.3,3.53,0.519,0.483,5.34,17.89,11.97,16.88,19.79,1.51,5.42,22.43,150.33,-3.3,1.19,99.7,95.5,16.45,6.2537,/player/Tyler-Honeycutt/Summary/2376,2376,Tyler Honeycutt,F,80,190,UCLA,19900715.0,,7/15/1990,Los Angeles (CA),NBA,2009.0,34.0,2009.0,30.0,82.33,82.2,81,81,2011.0,2,2,5,2,3,,/cbb/players/tyler-honeycutt-1.html,,
53,/player/Cory-Jefferson/Summary/4149,NBA,2009-10,Baylor,ncaa,Big 12 Conference,51.0,2010.0,Fr,21,0,4.7,0.43,1.1,0.391,0.0,0.05,0.0,0.43,0.62,0.6920000000000001,0.57,0.62,1.19,0.0,0.1,0.19,0.62,0.24,1.29,98.0,9,23,0,1,9,13,12,13,25,0,2,4,13,5,27,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.4,0.57,18.0,3.0,0.857,0.13,0.22,0.35,0.46299999999999997,0.391,15.39,13.48,14.33,0.0,14.63,1.28,4.48,17.41,108.36,-5.21,1.17,104.9,92.4,12.67,6.9774,/player/Cory-Jefferson/Summary/4149,4149,Cory Jefferson,PF,81,215,Baylor,19901226.0,,12/26/1990,Killeen (TX),NBA,2009.0,78.0,,,83.93,83.62,84.5,84.5,2014.0,5,2,2,4,4,,/cbb/players/cory-jefferson-1.html,,
54,/player/Cory-Jefferson/Summary/4149,NBA,2011-12,Baylor,ncaa,Big 12 Conference,51.0,2012.0,So,34,1,10.5,1.38,2.65,0.522,0.0,0.06,0.0,0.79,1.32,0.6,0.74,1.91,2.65,0.09,0.24,1.24,1.32,0.44,3.56,357.0,47,90,0,2,27,45,25,65,90,3,8,42,45,15,121,1.0,0.0,0.0,0.0,0.0,0.0,0.055,0.2,0.53,0.5,28.0,6.0,0.8240000000000001,0.73,0.77,1.51,0.5429999999999999,0.522,8.9,20.16,14.92,1.59,11.87,1.34,12.37,17.91,112.22,-3.69,1.34,110.9,89.5,19.25,5.031300000000001,/player/Cory-Jefferson/Summary/4149,4149,Cory Jefferson,PF,81,215,Baylor,19901226.0,,12/26/1990,Killeen (TX),NBA,2009.0,78.0,,,83.93,83.62,84.5,84.5,2014.0,5,2,2,4,4,,/cbb/players/cory-jefferson-1.html,,
55,/player/Cory-Jefferson/Summary/4149,NBA,2012-13,Baylor,ncaa,Big 12 Conference,51.0,2013.0,Jr,37,37,27.9,5.16,8.46,0.61,0.08,0.24,0.33299999999999996,2.89,4.11,0.7040000000000001,2.68,5.3,7.97,0.3,0.46,1.92,2.3,0.81,13.3,1032.0,191,313,3,9,107,152,99,196,295,11,17,71,85,30,492,10.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,0.37,0.57,0.49,23.0,14.0,0.622,4.24,2.03,6.27,0.639,0.615,11.07,20.33,15.87,2.19,7.23,0.96,6.69,20.0,164.75,-2.13,1.57,132.6,93.1,25.73,4.341,/player/Cory-Jefferson/Summary/4149,4149,Cory Jefferson,PF,81,215,Baylor,19901226.0,,12/26/1990,Killeen (TX),NBA,2009.0,78.0,,,83.93,83.62,84.5,84.5,2014.0,5,2,2,4,4,,/cbb/players/cory-jefferson-1.html,,
56,/player/Cory-Jefferson/Summary/4149,NBA,2013-14,Baylor,ncaa,Big 12 Conference,51.0,2014.0,Sr,38,38,29.0,4.84,9.68,0.5,0.37,1.0,0.368,3.61,5.63,0.64,2.82,5.39,8.21,0.97,0.39,1.29,2.18,1.34,13.66,1103.0,184,368,14,38,137,214,107,205,312,37,15,49,83,51,519,14.0,0.0,0.0,0.0,0.0,0.0,0.23,0.73,0.29,0.58,26.0,12.0,0.684,3.43,1.65,5.08,0.5529999999999999,0.519,11.63,21.08,16.49,7.36,9.8,0.85,4.73,24.24,150.86,-2.49,1.41,119.9,101.6,22.46,5.070600000000001,/player/Cory-Jefferson/Summary/4149,4149,Cory Jefferson,PF,81,215,Baylor,19901226.0,,12/26/1990,Killeen (TX),NBA,2009.0,78.0,,,83.93,83.62,84.5,84.5,2014.0,5,2,2,4,4,,/cbb/players/cory-jefferson-1.html,,
59,/player/John-Jenkins/Summary/2377,NBA,2009-10,Vanderbilt,ncaa,Southeastern Conference,264.0,2010.0,Fr,31,7,23.1,3.52,7.55,0.466,2.32,4.81,0.483,1.55,1.94,0.8,0.26,1.97,2.23,0.97,0.45,0.16,1.16,0.74,10.9,716.0,109,234,72,149,48,60,8,61,69,30,14,5,36,23,338,0.0,0.0,0.0,0.0,0.0,0.0,0.171,1.3,0.61,0.26,22.0,9.0,0.71,2.5,0.9,3.4,0.644,0.62,1.34,8.79,5.34,8.34,8.06,1.12,0.68,19.7,174.9,-0.4,1.44,129.5,102.7,18.71,2.57,/player/John-Jenkins/Summary/2377,2377,John Jenkins,SG,76,215,Vanderbilt,19910306.0,,3/6/1991,Nashville (TN),NBA,2009.0,29.0,2009.0,23.0,79,78.97,80.5,80.5,2012.0,3,5,1,4,3,,/cbb/players/john-jenkins-1.html,,
60,/player/John-Jenkins/Summary/2377,NBA,2010-11,Vanderbilt,ncaa,Southeastern Conference,264.0,2011.0,So,32,32,34.5,5.94,12.84,0.462,3.12,7.66,0.408,4.5,5.03,0.894,0.53,2.44,2.97,1.22,0.75,0.34,1.38,1.62,19.5,1105.0,190,411,100,245,144,161,17,78,95,39,24,11,44,52,624,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.75,0.46,0.39,21.0,11.0,0.6559999999999999,4.7,1.12,5.82,0.64,0.584,1.88,7.62,4.93,7.85,9.64,1.29,0.98,25.0,176.49,-2.33,1.52,128.4,105.3,21.92,3.0781,/player/John-Jenkins/Summary/2377,2377,John Jenkins,SG,76,215,Vanderbilt,19910306.0,,3/6/1991,Nashville (TN),NBA,2009.0,29.0,2009.0,23.0,79,78.97,80.5,80.5,2012.0,3,5,1,4,3,,/cbb/players/john-jenkins-1.html,,
61,/player/John-Jenkins/Summary/2377,NBA,2011-12,Vanderbilt,ncaa,Southeastern Conference,264.0,2012.0,Jr,35,35,33.6,6.2,13.09,0.474,3.83,8.71,0.439,3.66,4.37,0.8370000000000001,0.46,2.43,2.89,1.2,0.83,0.31,1.2,1.57,19.89,1176.0,217,458,134,305,128,153,16,85,101,42,29,11,42,55,696,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.76,0.53,0.33,24.0,11.0,0.6859999999999999,5.97,1.01,6.98,0.6559999999999999,0.62,1.71,8.27,5.14,8.52,9.39,1.51,0.98,26.25,174.97,-2.39,1.52,129.9,102.4,25.11,2.9870000000000005,/player/John-Jenkins/Summary/2377,2377,John Jenkins,SG,76,215,Vanderbilt,19910306.0,,3/6/1991,Nashville (TN),NBA,2009.0,29.0,2009.0,23.0,79,78.97,80.5,80.5,2012.0,3,5,1,4,3,,/cbb/players/john-jenkins-1.html,,
109,/player/Darius-Johnson-Odom/Summary/6156,NBA,2009-10,Marquette,ncaa,Big East Conference,68.0,2010.0,So,34,22,29.7,4.47,9.82,0.455,2.15,4.53,0.474,1.91,2.82,0.677,0.47,2.18,2.65,2.38,0.88,0.18,2.26,2.0,13.0,1009.0,152,334,73,154,65,96,16,74,90,81,30,6,77,68,442,0.0,0.0,0.0,0.0,0.0,0.0,0.271,1.19,0.44,0.29,22.0,12.0,0.647,2.29,1.28,3.57,0.5820000000000001,0.564,2.0,9.28,5.63,16.96,15.19,1.85,0.63,24.03,160.62,-1.45,1.32,109.8,102.5,16.83,4.4666,/player/Darius-Johnson-Odom/Summary/6156,6156,Darius Johnson-Odom,SG,74,215,Marquette,19890928.0,,9/28/1989,Raleigh (NC),NBA,,,,,78.53,78.41,79,78.38,2012.0,3,2,6,2,2,,/cbb/players/darius-johnson-odom-1.html,,
