Year,Rank,Name,Position,Ht,Wt,Composite,Stars,School,Sports-Ref Link,RealGM Link,
2003,2,Luol Deng,SF,6-8,217,0.9996,5 Stars,Duke,/cbb/players/luol-deng-1.html,/player/Luol-Deng/Summary/323,2003.2
2003,4,Shannon Brown,SG,6-4,185,0.9988,5 Stars,Michigan State,/cbb/players/shannon-brown-1.html,/player/Shannon-Brown/Summary/70,2003.4
2003,5,David Padgett,C,6-10,220,0.9982,5 Stars,Kansas,/cbb/players/david-padgett-1.html,/player/David-Padgett/Summary/796,2003.5
2003,7,Charlie Villanueva,PF,6-9,215,0.998,5 Stars,Connecticut,/cbb/players/charlie-villanueva-1.html,/player/Charlie-Villanueva/Summary/64,2003.7
2003,8,Leon Powe,PF,6-8,230,0.9968,5 Stars,California,/cbb/players/leon-powe-1.html,/player/Leon-Powe/Summary/114,2003.8
2003,9,Brian Butch,C,7-1,217,0.9964,5 Stars,Wisconsin,/cbb/players/brian-butch-1.html,/player/Brian-Butch/Summary/1884,2003.9
2003,10,Mustafa Shakur,PG,6-3,175,0.996,5 Stars,Arizona,/cbb/players/mustafa-shakur-1.html,/player/Mustafa-Shakur/Summary/890,2003.10
2003,11,Chris Paul,PG,6-1,165,0.9958,5 Stars,Wake Forest,/cbb/players/chris-paul-1.html,/player/Chris-Paul/Summary/61,2003.11
2003,12,Brandon Bass,PF,6-8,234,0.9954,5 Stars,LSU,/cbb/players/brandon-bass-1.html,/player/Brandon-Bass/Summary/126,2003.12
2003,14,Linas Kleiza,PF,6-8,245,0.9944,5 Stars,Missouri,/cbb/players/linas-kleiza-1.html,/player/Linas-Kleiza/Summary/368,2003.14
2003,15,Blake Adams,SF,6-6,190,0.9944,5 Stars,TCU,/cbb/players/blake-adams-1.html,/player/Blake-Adams/Summary/9974,2003.15
2003,16,Kris Humphries,PF,6-8,226,0.9938,5 Stars,Minnesota,/cbb/players/kris-humphries-1.html,/player/Kris-Humphries/Summary/383,2003.16
2003,17,Olu Famutimi,SG,6-5,195,0.9932,5 Stars,Arkansas,/cbb/players/olu-famutimi-1.html,/player/Olu-Famutimi/Summary/1156,2003.17
2003,18,Trevor Ariza,PF,6-8,200,0.993,5 Stars,UCLA,/cbb/players/trevor-ariza-1.html,/player/Trevor-Ariza/Summary/398,2003.18
2003,19,J.R. Giddens,SF,6-5,185,0.9924,5 Stars,Kansas,/cbb/players/jr-giddens-1.html,/player/JR-Giddens/Summary/781,2003.19
2003,20,Mike Jones,SG,6-5,190,0.992,5 Stars,Maryland,/cbb/players/mike-jones-2.html,/player/Mike-Jones/Summary/1944,2003.20
2003,21,Regis Koundjia,SF,6-8,210,0.9906,5 Stars,LSU,/cbb/players/regis-koundjia-1.html,/player/Regis-Koundjia/Summary/2032,2003.21
2003,22,Darryl Watkins,C,6-11,235,0.9906,5 Stars,Syracuse,/cbb/players/darryl-watkins-1.html,/player/Darryl-Watkins/Summary/873,2003.22
2003,23,Dion Harris,SG,6-4,200,0.9902,5 Stars,Michigan,/cbb/players/dion-harris-1.html,/player/Dion-Harris/Summary/2392,2003.23
2003,24,Drew Lavender,PG,5-7,155,0.99,4 Stars,Oklahoma,/cbb/players/drew-lavender-1.html,/player/Drew-Lavender/Summary/1943,2003.24
2003,25,Sean Banks,SF,6-8,200,0.9888,4 Stars,Memphis,/cbb/players/sean-banks-1.html,/player/Sean-Banks/Summary/1116,2003.25
2003,26,Rodrick Stewart,SG,6-5,215,0.9884,4 Stars,USC,/cbb/players/rodrick-stewart-1.html,/player/Rodrick-Stewart/Summary/2393,2003.26
2003,27,Rich McBride,SG,6-3,200,0.988,4 Stars,Illinois,/cbb/players/rich-mcbride-1.html,/player/Rich-McBride/Summary/2395,2003.27
2003,28,Ronnie Brewer,SG,6-6,190,0.9869,4 Stars,Arkansas,/cbb/players/ronnie-brewer-1.html,/player/Ronnie-Brewer/Summary/83,2003.28
2003,29,Martin Iti,C,6-11,230,0.9865,4 Stars,Charlotte,/cbb/players/martin-iti-1.html,/player/Martin-Iti/Summary/2714,2003.29
2003,30,Aaron Brooks,PG,6-1,160,0.9861,4 Stars,Oregon,/cbb/players/aaron-brooks-1.html,/player/Aaron-Brooks/Summary/53,2003.30
2003,31,Tack Minor,PG,5-10,186,0.9859,4 Stars,LSU,/cbb/players/tack-minor-1.html,/player/Tack-Minor/Summary/2524,2003.31
