realgm_summary_page,highest_lvl,season,reg_playoff,team,teamid,abbr,gp,gs,mp,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,mp_tot,fgm_tot,fga_tot,fg3m_tot,fg3a_tot,ftm_tot,fta_tot,oreb_tot,dreb_tot,reb_tot,ast_tot,stl_tot,blk_tot,pf_tot,tov_tot,pts_tot,dbl_dbl,tpl_dbl,pts40,pts20,ast20,techs,hob,ast_to,stl_to,ft_fga,w,l,win_pct,ows,dws,ws,ts_pct,efg_pct,oreb_pct,dreb_pct,reb_pct,ast_pct,tov_pct,stl_pct,blk_pct,usg_pct,total_s_pct,ppr,pps,ortg,drtg,per
/player/Tyler-Honeycutt/Summary/2376,NBA,2011-12,reg,Reno-Bighorns,13,RNO,10,1,12.7,2.3,5.5,0.418,0.6,1.6,0.375,0.7,1.6,0.438,1.2,1.7,2.9,0.9,0.9,0.5,1.8,1.2,5.9,127,23,55,6,16,7,16,12,17,29,9,9,5,18,12,59,0,0,0,0,0,0,0.082,0.75,0.75,0.29,5,5,0.5,-0.02,0.19,0.16,0.475,0.473,11.06,15.63,13.35,11.15,16.21,3.5,3.11,24.75,123.07,-4.69,1.07,97,103.3,14.46
/player/Tyler-Honeycutt/Summary/2376,NBA,2012-13,reg,All Teams,,,15,5,24.3,3.93,8.07,0.488,0.87,2.13,0.406,1.73,2.07,0.839,2.07,5.27,7.33,1.47,2.07,1.2,2.27,2.2,10.47,364.5,59,121,13,32,26,31,31,79,110,22,31,18,34,33,157,4,0,0,0,0,1,0.137,0.67,0.94,0.26,8,7,0.533,0.46,0.72,1.19,0.583,0.541,9.15,21.98,15.75,9.32,19.69,4.01,3.55,18.9,173.26,-4.78,1.3,106.3,96.4,18.54
/player/Tyler-Honeycutt/Summary/2376,NBA,2012-13,reg,Rio-Grande-Valley-Vipers,14,RGV,8,2,18.3,3.62,7,0.518,1,2.25,0.444,1.88,2.12,0.882,1.25,4.12,5.38,1.5,1.88,0.75,2.25,1.88,10.12,146.4,29,56,8,18,15,17,10,33,43,12,15,6,18,15,81,1,0,0,0,0,0,0.124,0.8,1,0.3,6,2,0.75,0.36,0.3,0.66,0.638,0.589,7.22,21,14.55,12.34,19.11,4.71,2.82,21.52,184.47,-4.46,1.45,114.1,96,22.16
/player/Tyler-Honeycutt/Summary/2376,NBA,2012-13,reg,Reno-Bighorns,13,RNO,7,3,31.1,4.29,9.29,0.462,0.71,2,0.357,1.57,2,0.786,3,6.57,9.57,1.43,2.29,1.71,2.29,2.57,10.86,218,30,65,5,14,11,14,21,46,67,10,16,12,16,18,76,3,0,0,0,0,1,0.154,0.56,0.89,0.22,2,5,0.286,0.09,0.45,0.53,0.534,0.5,10.55,23.71,17.04,7.48,20.19,3.56,4.16,17.25,160.44,-5.04,1.17,99.2,95.9,16.19
/player/Tyler-Honeycutt/Summary/2376,NBA,2012-13,playoff,Rio-Grande-Valley-Vipers,14,RGV,6,0,19.8,3,6.17,0.486,0.67,2.33,0.286,0.67,1,0.667,1.67,3,4.67,1.67,0.67,0.67,1.83,1.83,7.33,118.8,18,37,4,14,4,6,10,18,28,10,4,4,11,11,44,0,0,0,0,0,0,0.119,0.91,0.36,0.16,6,0,1,0.05,0.21,0.26,0.555,0.541,9.89,14.99,12.66,12.67,21.72,1.61,2.55,17.77,143.89,-3.55,1.19,103.8,102.4,0
/player/Richard-Howell/Summary/3790,International,2013-14,reg,Idaho-Stampede,11,IDA,20,20,34.6,8,14.15,0.565,0,0.15,0,2,3.25,0.615,4.2,6.35,10.55,2.55,1.35,0.7,2.85,2.5,18,691.7,160,283,0,3,40,65,84,127,211,51,27,14,57,50,360,14,0,0,0,0,2,0.261,1.02,0.54,0.23,12,8,0.6,1.36,1.15,2.51,0.578,0.565,12.5,19.31,15.87,12.29,13.83,1.88,1.63,21.73,118.08,-2.33,1.27,114.3,103.1,20.17
/player/Richard-Howell/Summary/3790,International,2014-15,reg,Austin-Spurs,9,AUS,8,1,23.3,3.75,7.5,0.5,0.12,0.25,0.5,1.12,1.38,0.818,1.62,3.25,4.88,1,1,0.5,2.5,1.5,8.75,186.6,30,60,1,2,9,11,13,26,39,8,8,4,20,12,70,0,0,0,0,0,0,0.124,0.67,0.67,0.18,2,6,0.25,0.09,0.11,0.21,0.54,0.508,8.18,14.95,11.72,6.74,15.62,2.12,1.6,18.05,181.82,-3.67,1.17,105.4,113.1,13.07
/player/Rahlir-Hollis-Jefferson/Summary/10881,International,2014-15,reg,Delaware-87ers,36,DEL,36,4,16.2,2,4.28,0.468,0.25,0.89,0.281,0.83,1.5,0.556,1.03,1.78,2.81,1.5,1.11,0.39,1.67,1.19,5.08,583.7,72,154,9,32,30,54,37,64,101,54,40,14,60,43,183,0,0,0,0,0,1,0.087,1.26,0.93,0.35,16,20,0.444,0,0.75,0.75,0.515,0.497,6.87,12.18,9.5,13.05,19.48,3.26,1.98,15.75,130.43,-1.18,1.19,100.7,107.5,11.84
/player/Rahlir-Hollis-Jefferson/Summary/10881,International,2017-18,reg,Northern-Arizona-Suns,43,NAS,48,6,25.3,3.52,7.31,0.481,0.92,2.58,0.355,1.9,2.56,0.74,1.81,3.58,5.4,1.44,1.48,1.06,2.27,1.29,9.85,1212.8,169,351,44,124,91,123,87,172,259,69,71,51,109,62,473,3,0,0,0,0,0,0.116,1.11,1.15,0.35,22,26,0.458,1.91,1.21,3.12,0.584,0.544,7.46,15.05,11.22,7.64,13.27,2.69,3.34,15.56,157.62,-1.27,1.35,116.6,109,15.51
/player/Cory-Jefferson/Summary/4149,NBA,2014-15,reg,Maine-Red-Claws,5,MNE,2,0,24.4,4,6.5,0.615,1,1,1,1.5,2.5,0.6,2,8,10,0,0.5,3,3.5,1.5,10.5,48.7,8,13,2,2,3,5,4,16,20,0,1,6,7,3,21,1,0,0,0,0,0,0.094,0,0.33,0.38,2,0,1,0.1,0.05,0.15,0.691,0.692,9.27,35.41,22.64,0,16.48,1.04,9.09,16.23,221.54,-6.45,1.62,122.9,108.9,20.89
