Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Jaren Jackson Jr.,88806,83,88,109,242
Trae Young ,88934,74,76,N/A,176
Deandre Ayton ,74086,84,89,111,250
Marvin Bagley III,81676,83,84.5,106,234
Zhaire Smith ,121978,77,82,N/A,195
Wendell Carter Jr.,76236,82,87,108,257
Jontay Porter ,89430,82,84,N/A,240
Mohamed Bamba ,88784,84,93,114,225
Miles Bridges ,74071,78.25,80.75,103,226
Michael Porter Jr.,81696,82,84,108,216
De'Anthony Melton ,85714,75,80,98,195
Mikal Bridges ,52342,79,86,N/A,200
Troy Brown ,74084,78,83,105,210
Jacob Evans ,83990,78,N/A,N/A,210
Shai Gilgeous-Alexander ,104915,78,84,102,175
Josh Okogie ,94058,76,84,101,213
Robert Williams ,90402,82,89.5,N/A,237
Kevin Huerter ,89387,78,79.75,101,197
Kenrich Williams ,80275,79,80,103.5,205
Shake Milton ,73155,79,83.5,N/A,205
Landry Shamet ,84169,76,N/A,N/A,188
Kevin Knox ,91700,81,84,107,209
Collin Sexton ,104930,74,79,96,184
Jalen McDaniels ,90832,82,N/A,N/A,195
Keita Bates-Diop ,71803,79,86,N/A,235
Jalen Brunson ,52545,74,75.5,N/A,201
Shamorie Ponds ,88764,73,75,95,175
Jarred Vanderbilt ,76237,81,85,106,213
Ethan Happ ,72038,82,N/A,N/A,235
Gary Clark ,79987,79.5,82,106,219
Vince Edwards ,79905,80,84,105.5,225
Rawle Alkins ,76386,75.75,80.75,99,223
Sagaba Konate ,88754,80,N/A,N/A,250
Lonnie Walker ,88916,76.25,82.5,N/A,206
Jevon Carter ,80283,74,75,N/A,200
Jarrey Foster ,84081,78,84,N/A,220
Markis McDuffie ,83911,80,N/A,N/A,203
Bruce Brown ,85612,77,80.5,N/A,200
Donte DiVincenzo ,83939,77,77,N/A,205
Devon Hall ,56796,77,81,102,211
Melvin Frazier ,83909,78,86.5,N/A,200
Khyri Thomas ,84388,75,82,N/A,205
Chandler Hutchison ,80965,79,85,N/A,200
Terence Davis ,84136,76,N/A,N/A,201
Grayson Allen ,52340,76.5,78.5,N/A,189
Aaron Holiday ,54843,73,78,N/A,187
Carsen Edwards ,93803,73.5,77,93.75,195
Dakota Mathias ,79908,75.5,78,102,198
Bruno Fernando ,91004,82,N/A,N/A,245
Devonte' Graham ,41320,74,N/A,N/A,175
Moritz Wagner ,75563,83.25,84,108,231
Ky Bowman ,107258,73,N/A,N/A,182
Keenan Evans ,80278,75,77,N/A,190
Bonzie Colson ,52345,76.5,83.5,N/A,224
Ajdin Penava ,63962,81,N/A,N/A,220
Gary Trent Jr.,88908,78,80.5,N/A,215
Kris Wilkes ,88923,79,83,104,199
Malik Newman ,52036,75.5,77.75,97.5,182
Raymond Spalding ,83900,82,85,N/A,215
Kerwin Roach Jr.,76739,76,N/A,N/A,180
Kevin Hervey ,81478,81,87,N/A,230
Charles Matthews ,52341,78,81,103,189
Trevon Duval ,81683,74.5,81.5,99,195
Omari Spellman ,74078,81,86,N/A,245
Tony Carr ,88727,75,80,N/A,204
Cody Martin ,80112,79,N/A,N/A,210
Allonzo Trier ,42371,77,78,98.25,197
Jerome Robinson ,85560,77,N/A,N/A,181
Admiral Schofield ,84318,77,N/A,N/A,238
Jaylen Adams ,80385,74,76,96,190
Tremont Waters ,88918,71,N/A,N/A,167
Chimezie Metu ,76976,82,83,N/A,210
Jalen Hudson ,80120,77,N/A,N/A,195
Juwan Morgan ,83934,80,N/A,N/A,230
Caleb Martin ,112967,79,N/A,N/A,210
Kendrick Nunn ,24684,75,79,99,191
Desonta Bradford ,71543,76,N/A,N/A,190
Daryl Macon ,89349,74.5,78.5,99,181
Sviatoslav Mykhailiuk ,41726,79.5,77,100,220
Yoeli Childs ,85755,80,N/A,N/A,225
Thomas Welsh ,64323,84.5,84,109.5,254
Wenyen Gabriel ,88737,81,83,107,210
Luke Maye ,83928,80,N/A,N/A,240
Chris Smith ,104831,81,N/A,N/A,200
Terry Taylor ,121779,77,N/A,N/A,217
Udoka Azubuike ,71574,83.5,89,N/A,280
Amorie Archibald ,121623,75,N/A,N/A,176
RJ Cole ,121882,73,N/A,N/A,175
Taveion Hollingsworth ,118830,74,N/A,N/A,165
Ja Morant ,121815,75,N/A,N/A,170
Donnie Tillman ,88906,79,N/A,N/A,225
Eric Williams Jr.,121582,77,N/A,N/A,190
Kaleb Wesson ,88920,81,86,109.5,270
Jaylen Nowell ,88837,76,N/A,N/A,200
Garrison Brooks ,104920,81,N/A,N/A,215
Collin Gillespie ,118702,75,N/A,N/A,190
Sandro Mamukelashvili ,103506,82,N/A,N/A,230
Saben Lee ,95908,74,N/A,N/A,174
Jordan Poole ,88853,76,N/A,N/A,190
Tywhon Pickford ,121569,76,N/A,N/A,202
Yves Pons ,77640,78,N/A,N/A,217
Ethan Thompson ,88903,76.5,77,N/A,178
Kezie Okpala ,106472,80,N/A,N/A,195
Brad Davison ,121327,75,N/A,N/A,205
Nicolas Claxton ,108483,83,N/A,N/A,215
Daejon Davis ,87290,75,N/A,N/A,175
Kameron Langley ,122125,74,N/A,N/A,205
Matt Mitchell ,121688,78,N/A,N/A,230
Emmanuel Akot ,104346,79,80,102,200
Justice Sueing ,95898,79,N/A,N/A,209
Markus Howard ,81690,72,72,90,178
