Year,Stats Team,RealGM Team,Name,RealGM ID,,"On Offense
 Possessions","Off Offense
 Possessions","On Defense
 Possessions","Off Defense
 Possessions",,ORTG On,ORTG Off,DRTG On,DRTG Off,,O-On/Off,D-On/Off,On/Off
2017,Abilene Christian,Abilene Christian,Jaren Lewis,85091,2017-18,1819,553,1816,561,,106.96,103.02,105.48,102.31,,3.94,-3.16,0.78
2017,Abilene Christian,Abilene Christian,Jalone Friday,85116,2017-18,1347,1025,1318,1059,,108.05,103.49,105.56,103.7,,4.56,-1.86,2.7
2017,Alabama,Alabama,John Petty,88850,2017-18,1825,698,1806,723,,107.35,102.3,107.19,102.27,,5.05,-4.92,0.13
2017,Alabama,Alabama,Dazon Ingram,84042,2017-18,1769,754,1764,765,,107.38,102.55,106.34,104.61,,4.84,-1.73,3.11
2017,Alabama,Alabama,Collin Sexton,104930,2017-18,1743,780,1727,802,,107.85,101.7,107.5,102.08,,6.15,-5.42,0.74
2017,Alabama,Alabama,Donta Hall,73160,2017-18,1381,1142,1387,1142,,110.03,100.88,105.84,105.83,,9.15,-0.01,9.14
2017,Alabama,Alabama,Herb Jones,105363,2017-18,1252,1271,1298,1231,,102.36,109.73,102.18,109.65,,-7.37,7.48,0.11
2017,Alabama,Alabama,Braxton Key,103651,2017-18,1114,1409,1111,1418,,105.48,106.35,105.31,106.26,,-0.88,0.96,0.08
2017,Albany (NY),Albany,Joe Cremo,85100,2017-18,1894,256,1895,255,,111.13,106.85,103.98,106.05,,4.28,2.07,6.36
2017,American,American University,Sa'eed Nelson,107273,2017-18,1805,209,1804,213,,102.19,87.01,110.71,118.08,,15.18,7.37,22.55
2017,Arizona,Arizona,DeAndre Ayton,74086,2017-18,2024,418,2007,414,,118.28,109.37,104.96,100.72,,8.91,-4.23,4.68
2017,Arizona,Arizona,Allonzo Trier,42371,2017-18,1953,489,1922,499,,119.13,107.45,103.74,106.29,,11.68,2.55,14.22
2017,Arizona,Arizona,Dusan Ristic,27315,International,1640,802,1591,830,,118.53,113.26,104.62,103.5,,5.27,-1.11,4.16
2017,Arizona,Arizona,Rawle Alkins,76386,2017-18,1257,1185,1251,1170,,114.79,118.94,102.45,106.18,,-4.15,3.74,-0.41
2017,Arizona,Arizona,Brandon Randolph,106502,2017-18,584,1858,572,1849,,111.3,118.52,109.85,102.49,,-7.21,-7.36,-14.57
2017,Arizona,Arizona,Emmanuel Akot,104346,2017-18,526,1916,538,1883,,116.76,116.8,104.34,104.22,,-0.04,-0.12,-0.16
2017,Arizona St.,Arizona State,Tra Holder,80980,2017-18,2022,312,2016,313,,115.16,114.87,106.68,103.41,,0.3,-3.27,-2.97
2017,Arizona St.,Arizona State,Shannon Evans,57374,2017-18,2014,320,2006,323,,117.19,101.79,105.87,108.75,,15.4,2.88,18.28
2017,Arizona St.,Arizona State,Remy Martin,88819,2017-18,1416,918,1417,912,,115.24,114.95,107.21,104.79,,0.29,-2.42,-2.13
2017,Arizona St.,Arizona State,Romello White,76389,2017-18,1354,980,1350,979,,114.01,116.67,105.41,107.43,,-2.65,2.02,-0.64
2017,Ark.-Pine Bluff,Arkansas-Pine Bluff,Martaveous McKnight,124653,2017-18,2046,388,2040,395,,101.52,86.64,109.02,115.27,,14.88,6.25,21.13
2017,Arkansas,Arkansas,Jaylen Barford,107065,2017-18,1940,571,1948,561,,114.39,103.64,109.52,104.02,,10.75,-5.5,5.25
2017,Arkansas,Arkansas,Daryl Macon,89349,2017-18,1916,595,1898,611,,112.02,111.92,108.93,106.28,,0.1,-2.65,-2.55
