name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
Aakim Saintil,2012,/player/Aakim-Saintil/Summary/59002,69.75,NA,160,73.75,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2011,/player/Aaric-Murray/Summary/8223,NA,82.75,249,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2011,/player/Aaric-Murray/Summary/8223,NA,82.75,249,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2014,/player/Aaric-Murray/Summary/8223,81,NA,250,86.5,111.5,NA,NA,NA,25.5,137,NA,NA,NA,12.62,3.56
Aaron Brooks,2007,/player/Aaron-Brooks/Summary/53,70.5,71.75,161,76,94,2.7,NA,NA,32.5,126.5,39.5,133.5,6,10.57,3.2
Aaron Bruce,2008,/player/Aaron-Bruce/Summary/1918,73.75,74.5,182,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2013,/player/Aaron-Craft/Summary/9412,NA,74.5,194,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2013,/player/Aaron-Craft/Summary/9412,NA,74.5,194,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2014,/player/Aaron-Craft/Summary/9412,72.75,73.75,192,74,94.5,6.1,7.75,8.5,29,123.5,32,126.5,NA,10.78,3.26
Aaron Craft,2015,/player/Aaron-Craft/Summary/9412,72.5,73.75,198,74,94.5,NA,NA,NA,27.5,122,33.5,128,NA,10.93,3.3
Aaron Epps,2015,/player/Aaron-Epps/Summary/81030,80,81.5,220,84,107,8.6,8.5,8.75,32,139,41,148,10,11.88,3.13
Aaron Falzon,2013,/player/Aaron-Falzon/Summary/73145,79,NA,222,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falzon,2014,/player/Aaron-Falzon/Summary/73145,NA,80,214,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falzon,2014,/player/Aaron-Falzon/Summary/73145,NA,80,214,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2011,/player/Aaron-Gordon/Summary/24308,NA,80,207,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2013,/player/Aaron-Gordon/Summary/24308,78,79,220,83,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2013,/player/Aaron-Gordon/Summary/24308,NA,81,212,83.5,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2014,/player/Aaron-Gordon/Summary/24308,79.5,80.75,220,83.75,105,5.1,8.75,10.5,32.5,137.5,39,144,NA,10.81,3.27
Aaron Gray,2006,/player/Aaron-Gray/Summary/11,84,85,280,87,109,15,NA,NA,26.5,135.5,30.5,139.5,17,12.63,3.71
Aaron Gray,2007,/player/Aaron-Gray/Summary/11,84,85.75,271,87.25,108.5,15,NA,NA,27,135.5,32.5,141,17,12.07,3.7
Aaron Harrison,2011,/player/Aaron-Harrison/Summary/24309,NA,78,200,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
