RealGM Summary Page,Highest Level Reached,Season,,School,,SR-1,SR-2,BPM,,,
/player/Tyler-Honeycutt/Summary/2376,NBA,2010,11,UCLA,/player/Tyler-Honeycutt/Summary/2376=2010,/cbb/players/tyler-honeycutt-1.html,,2.00,5.30,7.30,
/player/Richard-Howell/Summary/3790,International,2010,11,NC State,/player/Richard-Howell/Summary/3790=2010,/cbb/players/richard-howell-1.html,,4.50,2.60,7.10,
/player/Richard-Howell/Summary/3790,International,2011,12,NC State,/player/Richard-Howell/Summary/3790=2011,/cbb/players/richard-howell-1.html,,1.90,1.80,3.70,
/player/Richard-Howell/Summary/3790,International,2012,13,NC State,/player/Richard-Howell/Summary/3790=2012,/cbb/players/richard-howell-1.html,,5.40,3.10,8.50,
/player/Jordan-Hulls/Summary/2277,International,2010,11,Indiana,/player/Jordan-Hulls/Summary/2277=2010,/cbb/players/jordan-hulls-1.html,,5.50,0.10,5.60,
/player/Jordan-Hulls/Summary/2277,International,2011,12,Indiana,/player/Jordan-Hulls/Summary/2277=2011,/cbb/players/jordan-hulls-1.html,,7.40,0.50,7.90,
/player/Jordan-Hulls/Summary/2277,International,2012,13,Indiana,/player/Jordan-Hulls/Summary/2277=2012,/cbb/players/jordan-hulls-1.html,,7.20,1.80,9.10,
/player/Hayden-Humes/Summary/11229,International,2010,11,Toledo,/player/Hayden-Humes/Summary/11229=2010,/cbb/players/hayden-humes-1.html,,-2.90,-1.60,-4.50,
/player/Hayden-Humes/Summary/11229,International,2011,12,Illinois-Chicago,/player/Hayden-Humes/Summary/11229=2011,/cbb/players/hayden-humes-1.html,,1.00,-0.80,0.20,
/player/Hayden-Humes/Summary/11229,International,2012,13,Illinois-Chicago,/player/Hayden-Humes/Summary/11229=2012,/cbb/players/hayden-humes-1.html,,1.30,0.40,1.70,
/player/Hayden-Humes/Summary/11229,International,2013,14,Illinois-Chicago,/player/Hayden-Humes/Summary/11229=2013,/cbb/players/hayden-humes-1.html,,-1.00,-1.40,-2.40,
/player/Ian-Hummer/Summary/12651,International,2010,11,Princeton,/player/Ian-Hummer/Summary/12651=2010,/cbb/players/ian-hummer-1.html,,1.20,2.90,4.10,
/player/Ian-Hummer/Summary/12651,International,2011,12,Princeton,/player/Ian-Hummer/Summary/12651=2011,/cbb/players/ian-hummer-1.html,,2.10,2.90,4.90,
/player/Ian-Hummer/Summary/12651,International,2012,13,Princeton,/player/Ian-Hummer/Summary/12651=2012,/cbb/players/ian-hummer-1.html,,4.20,2.20,6.40,
/player/David-Imes/Summary/18673,International,2010,11,Hofstra,/player/David-Imes/Summary/18673=2010,/cbb/players/david-imes-1.html,,-1.10,0.10,-1.00,
/player/David-Imes/Summary/18673,International,2011,12,Hofstra,/player/David-Imes/Summary/18673=2011,/cbb/players/david-imes-1.html,,-1.50,3.10,1.60,
/player/David-Imes/Summary/18673,International,2012,13,Hofstra,/player/David-Imes/Summary/18673=2012,/cbb/players/david-imes-1.html,,-2.90,0.70,-2.30,
/player/Martavious-Irving/Summary/4212,International,2010,11,Kansas State,/player/Martavious-Irving/Summary/4212=2010,/cbb/players/martavious-irving-1.html,,0.00,0.80,0.90,
/player/Martavious-Irving/Summary/4212,International,2011,12,Kansas State,/player/Martavious-Irving/Summary/4212=2011,/cbb/players/martavious-irving-1.html,,2.10,2.30,4.40,
/player/Martavious-Irving/Summary/4212,International,2012,13,Kansas State,/player/Martavious-Irving/Summary/4212=2012,/cbb/players/martavious-irving-1.html,,1.90,0.50,2.40,
/player/Rahlir-Hollis-Jefferson/Summary/10881,International,2010,11,Temple,/player/Rahlir-Hollis-Jefferson/Summary/10881=2010,/cbb/players/rahlir-jefferson-1.html,,0.90,5.30,6.30,
/player/Rahlir-Hollis-Jefferson/Summary/10881,International,2011,12,Temple,/player/Rahlir-Hollis-Jefferson/Summary/10881=2011,/cbb/players/rahlir-jefferson-1.html,,3.50,3.70,7.10,
/player/Rahlir-Hollis-Jefferson/Summary/10881,International,2012,13,Temple,/player/Rahlir-Hollis-Jefferson/Summary/10881=2012,/cbb/players/rahlir-jefferson-1.html,,1.70,4.90,6.60,
/player/Mahamoud-Jabbi/Summary/17644,International,2010,11,Binghamton,/player/Mahamoud-Jabbi/Summary/17644=2010,/cbb/players/mahamoud-jabbi-1.html,,0.70,1.00,1.70,
/player/Desmar-Jackson/Summary/10108,International,2010,11,Wyoming,/player/Desmar-Jackson/Summary/10108=2010,/cbb/players/desmar-jackson-1.html,,1.30,1.70,3.00,
/player/Desmar-Jackson/Summary/10108,International,2012,13,Southern Illinois,/player/Desmar-Jackson/Summary/10108=2012,/cbb/players/desmar-jackson-1.html,,2.90,1.00,3.90,
/player/Desmar-Jackson/Summary/10108,International,2013,14,Southern Illinois,/player/Desmar-Jackson/Summary/10108=2013,/cbb/players/desmar-jackson-1.html,,3.10,1.60,4.70,
/player/Dewayne-Jackson/Summary/19466,International,2010,11,Morgan State,/player/Dewayne-Jackson/Summary/19466=2010,/cbb/players/dewayne-jackson-1.html,,0.40,0.20,0.60,
/player/Dewayne-Jackson/Summary/19466,International,2011,12,Morgan State,/player/Dewayne-Jackson/Summary/19466=2011,/cbb/players/dewayne-jackson-1.html,,2.60,-1.40,1.20,
/player/Dewayne-Jackson/Summary/19466,International,2012,13,Morgan State,/player/Dewayne-Jackson/Summary/19466=2012,/cbb/players/dewayne-jackson-1.html,,2.10,0.90,3.00,
/player/Jamee-Jackson/Summary/20692,International,2010,11,Quinnipiac,/player/Jamee-Jackson/Summary/20692=2010,/cbb/players/jamee-jackson-1.html,,-3.70,1.40,-2.30,
/player/Jamee-Jackson/Summary/20692,International,2011,12,Quinnipiac,/player/Jamee-Jackson/Summary/20692=2011,/cbb/players/jamee-jackson-1.html,,-1.70,-0.20,-2.00,
/player/Jamee-Jackson/Summary/20692,International,2012,13,Quinnipiac,/player/Jamee-Jackson/Summary/20692=2012,/cbb/players/jamee-jackson-1.html,,-2.80,0.40,-2.40,
/player/Lakeem-Jackson/Summary/5878,International,2010,11,South Carolina,/player/Lakeem-Jackson/Summary/5878=2010,/cbb/players/lakeem-jackson-1.html,,1.00,2.30,3.30,
/player/Lakeem-Jackson/Summary/5878,International,2011,12,South Carolina,/player/Lakeem-Jackson/Summary/5878=2011,/cbb/players/lakeem-jackson-1.html,,-1.20,1.30,0.10,
/player/Lakeem-Jackson/Summary/5878,International,2012,13,South Carolina,/player/Lakeem-Jackson/Summary/5878=2012,/cbb/players/lakeem-jackson-1.html,,0.70,2.40,3.10,
/player/Tamir-Jackson/Summary/7915,International,2010,11,Rice,/player/Tamir-Jackson/Summary/7915=2010,/cbb/players/tamir-jackson-1.html,,2.10,-1.00,1.10,
/player/Tamir-Jackson/Summary/7915,International,2011,12,Rice,/player/Tamir-Jackson/Summary/7915=2011,/cbb/players/tamir-jackson-1.html,,-0.30,-2.00,-2.20,
/player/Tamir-Jackson/Summary/7915,International,2012,13,Rice,/player/Tamir-Jackson/Summary/7915=2012,/cbb/players/tamir-jackson-1.html,,-0.10,-2.80,-2.90,
/player/Cory-Jefferson/Summary/4149,NBA,2011,12,Baylor,/player/Cory-Jefferson/Summary/4149=2011,/cbb/players/cory-jefferson-1.html,,-1.20,6.00,4.80,
/player/Cory-Jefferson/Summary/4149,NBA,2012,13,Baylor,/player/Cory-Jefferson/Summary/4149=2012,/cbb/players/cory-jefferson-1.html,,4.50,3.20,7.70,
/player/Cory-Jefferson/Summary/4149,NBA,2013,14,Baylor,/player/Cory-Jefferson/Summary/4149=2013,/cbb/players/cory-jefferson-1.html,,3.40,2.50,6.00,
/player/Johndre-Jefferson/Summary/5877,International,2010,11,South Carolina,/player/Johndre-Jefferson/Summary/5877=2010,/cbb/players/johndre-jefferson-1.html,,-2.00,7.00,5.00,
/player/John-Jenkins/Summary/2377,NBA,2010,11,Vanderbilt,/player/John-Jenkins/Summary/2377=2010,/cbb/players/john-jenkins-1.html,,8.80,-0.70,8.10,
/player/John-Jenkins/Summary/2377,NBA,2011,12,Vanderbilt,/player/John-Jenkins/Summary/2377=2011,/cbb/players/john-jenkins-1.html,,10.30,-0.60,9.70,
/player/Danny-Jennings/Summary/6593,International,2010,11,West Virginia,/player/Danny-Jennings/Summary/6593=2010,/cbb/players/dan-jennings-1.html,,-3.10,3.10,0.00,
/player/Danny-Jennings/Summary/6593,International,2012,13,Long Beach State,/player/Danny-Jennings/Summary/6593=2012,/cbb/players/dan-jennings-1.html,,-1.00,-0.10,-1.10,
/player/Danny-Jennings/Summary/6593,International,2013,14,Long Beach State,/player/Danny-Jennings/Summary/6593=2013,/cbb/players/dan-jennings-1.html,,-0.50,2.10,1.60,
/player/Milton-Jennings/Summary/2204,International,2010,11,Clemson,/player/Milton-Jennings/Summary/2204=2010,/cbb/players/milton-jennings-1.html,,-0.70,1.50,0.80,
/player/Milton-Jennings/Summary/2204,International,2011,12,Clemson,/player/Milton-Jennings/Summary/2204=2011,/cbb/players/milton-jennings-1.html,,-1.60,2.70,1.10,
/player/Milton-Jennings/Summary/2204,International,2012,13,Clemson,/player/Milton-Jennings/Summary/2204=2012,/cbb/players/milton-jennings-1.html,,1.90,4.10,6.00,
/player/Lance-Jeter/Summary/4586,International,2010,11,Nebraska,/player/Lance-Jeter/Summary/4586=2010,/cbb/players/lance-jeter-1.html,,5.30,3.90,9.10,
/player/Melvin-Johnson-III/Summary/22099,International,2010,11,Texas-San Antonio,/player/Melvin-Johnson-III/Summary/22099=2010,/cbb/players/melvin-johnson-1.html,,1.10,-4.20,-3.10,
/player/Melvin-Johnson-III/Summary/22099,International,2011,12,Texas-San Antonio,/player/Melvin-Johnson-III/Summary/22099=2011,/cbb/players/melvin-johnson-1.html,,2.70,-2.90,-0.20,
/player/Melvin-Johnson-III/Summary/22099,International,2013,14,Arkansas State ,/player/Melvin-Johnson-III/Summary/22099=2013,/cbb/players/melvin-johnson-1.html,,2.90,-1.70,1.20,
/player/Akeem-Johnson/Summary/20834,International,2010,11,St. Francis (NY),/player/Akeem-Johnson/Summary/20834=2010,/cbb/players/akeem-johnson-1.html,,-1.80,-1.10,-2.90,
/player/Akeem-Johnson/Summary/20834,International,2011,12,St. Francis (NY),/player/Akeem-Johnson/Summary/20834=2011,/cbb/players/akeem-johnson-1.html,,-0.20,1.80,1.60,
/player/Akeem-Johnson/Summary/20834,International,2012,13,St. Francis (NY),/player/Akeem-Johnson/Summary/20834=2012,/cbb/players/akeem-johnson-1.html,,-0.70,0.60,-0.10,
/player/Bryson-Johnson/Summary/17057,International,2010,11,Bucknell,/player/Bryson-Johnson/Summary/17057=2010,/cbb/players/bryson-johnson-1.html,,5.30,-1.30,4.00,
/player/Bryson-Johnson/Summary/17057,International,2011,12,Bucknell,/player/Bryson-Johnson/Summary/17057=2011,/cbb/players/bryson-johnson-1.html,,3.90,-2.60,1.30,
/player/Bryson-Johnson/Summary/17057,International,2012,13,Bucknell,/player/Bryson-Johnson/Summary/17057=2012,/cbb/players/bryson-johnson-1.html,,4.20,-0.50,3.60,
/player/Dane-Johnson/Summary/13692,International,2010,11,Portland State,/player/Dane-Johnson/Summary/13692=2010,/cbb/players/dane-johnson-2.html,,-0.70,-3.60,-4.30,
/player/Donald-Johnson/Summary/17363,International,2010,11,Cal State Bakersfield,/player/Donald-Johnson/Summary/17363=2010,/cbb/players/donald-johnson-2.html,,-5.20,-0.50,-5.70,
/player/Donald-Johnson/Summary/17363,International,2011,12,Cal State Bakersfield,/player/Donald-Johnson/Summary/17363=2011,/cbb/players/donald-johnson-2.html,,2.50,-0.70,1.80,
/player/Elijah-Johnson/Summary/4197,International,2010,11,Kansas,/player/Elijah-Johnson/Summary/4197=2010,/cbb/players/elijah-johnson-1.html,,3.80,2.60,6.40,
/player/Elijah-Johnson/Summary/4197,International,2011,12,Kansas,/player/Elijah-Johnson/Summary/4197=2011,/cbb/players/elijah-johnson-1.html,,4.80,2.70,7.50,
/player/Elijah-Johnson/Summary/4197,International,2012,13,Kansas,/player/Elijah-Johnson/Summary/4197=2012,/cbb/players/elijah-johnson-1.html,,1.20,1.80,3.10,
/player/Kerron-Johnson/Summary/3641,International,2010,11,Belmont,/player/Kerron-Johnson/Summary/3641=2010,/cbb/players/kerron-johnson-1.html,,3.70,3.60,7.30,
/player/Kerron-Johnson/Summary/3641,International,2011,12,Belmont,/player/Kerron-Johnson/Summary/3641=2011,/cbb/players/kerron-johnson-1.html,,6.40,0.40,6.80,
/player/Kerron-Johnson/Summary/3641,International,2012,13,Belmont,/player/Kerron-Johnson/Summary/3641=2012,/cbb/players/kerron-johnson-1.html,,1.50,0.90,2.50,
/player/Noel-Johnson/Summary/3689,International,2010,11,Clemson,/player/Noel-Johnson/Summary/3689=2010,/cbb/players/noel-johnson-1.html,,-3.70,0.60,-3.10,
/player/Noel-Johnson/Summary/3689,International,2011,12,Auburn,/player/Noel-Johnson/Summary/3689=2011,/cbb/players/noel-johnson-1.html,,-4.70,-0.50,-5.20,
/player/Noel-Johnson/Summary/3689,International,2012,13,Auburn,/player/Noel-Johnson/Summary/3689=2012,/cbb/players/noel-johnson-1.html,,-1.00,-1.20,-2.20,
/player/Tim-Johnson/Summary/10500,International,2010,11,George Washington,/player/Tim-Johnson/Summary/10500=2010,/cbb/players/tim-johnson-5.html,,-2.50,-1.80,-4.30,
/player/Tim-Johnson/Summary/10500,International,2012,13,SIU-Edwardsville,/player/Tim-Johnson/Summary/10500=2012,/cbb/players/tim-johnson-5.html,,-2.00,-0.70,-2.70,
/player/Tim-Johnson/Summary/10500,International,2013,14,SIU-Edwardsville,/player/Tim-Johnson/Summary/10500=2013,/cbb/players/tim-johnson-5.html,,-1.90,-1.40,-3.20,
/player/Tony-Johnson/Summary/17210,International,2010,11,Lafayette,/player/Tony-Johnson/Summary/17210=2010,/cbb/players/tony-johnson-4.html,,0.50,0.50,1.00,
/player/Tony-Johnson/Summary/17210,International,2011,12,Lafayette,/player/Tony-Johnson/Summary/17210=2011,/cbb/players/tony-johnson-4.html,,3.60,-1.90,1.70,
/player/Tony-Johnson/Summary/17210,International,2012,13,Lafayette,/player/Tony-Johnson/Summary/17210=2012,/cbb/players/tony-johnson-4.html,,4.80,-0.10,4.70,
/player/Darius-Johnson-Odom/Summary/6156,NBA,2010,11,Marquette,/player/Darius-Johnson-Odom/Summary/6156=2010,/cbb/players/darius-johnson-odom-1.html,,5.10,-0.60,4.50,
/player/Darius-Johnson-Odom/Summary/6156,NBA,2011,12,Marquette,/player/Darius-Johnson-Odom/Summary/6156=2011,/cbb/players/darius-johnson-odom-1.html,,5.70,0.20,5.90,
/player/Alex-Jones/Summary/17526,International,2010,11,Seattle,/player/Alex-Jones/Summary/17526=2010,/cbb/players/alex-jones-1.html,,-1.50,-1.50,-3.00,
/player/Carl-Jones/Summary/10727,International,2010,11,Saint Joseph's,/player/Carl-Jones/Summary/10727=2010,/cbb/players/carl-jones-2.html,,4.80,-3.60,1.10,
/player/Carl-Jones/Summary/10727,International,2011,12,Saint Joseph's,/player/Carl-Jones/Summary/10727=2011,/cbb/players/carl-jones-2.html,,3.10,-1.70,1.40,
/player/Carl-Jones/Summary/10727,International,2012,13,Saint Joseph's,/player/Carl-Jones/Summary/10727=2012,/cbb/players/carl-jones-2.html,,3.00,-1.70,1.30,
/player/Lamont-Jones/Summary/2540,International,2010,11,Arizona,/player/Lamont-Jones/Summary/2540=2010,/cbb/players/lamont-jones-1.html,,1.00,0.40,1.40,
/player/Lamont-Jones/Summary/2540,International,2011,12,Iona,/player/Lamont-Jones/Summary/2540=2011,/cbb/players/lamont-jones-1.html,,2.30,-1.00,1.30,
/player/Lamont-Jones/Summary/2540,International,2012,13,Iona,/player/Lamont-Jones/Summary/2540=2012,/cbb/players/lamont-jones-1.html,,4.20,-3.40,0.80,
/player/Travele-Jones/Summary/15296,International,2010,11,Texas Southern,/player/Travele-Jones/Summary/15296=2010,/cbb/players/travele-jones-1.html,,0.10,-0.30,-0.20,
/player/Wally-Judge/Summary/2210,International,2010,11,Kansas State,/player/Wally-Judge/Summary/2210=2010,/cbb/players/wally-judge-1.html,,-2.30,2.30,-0.10,
/player/Wally-Judge/Summary/2210,International,2012,13,Rutgers,/player/Wally-Judge/Summary/2210=2012,/cbb/players/wally-judge-1.html,,0.00,2.00,2.00,
/player/Wally-Judge/Summary/2210,International,2013,14,Rutgers,/player/Wally-Judge/Summary/2210=2013,/cbb/players/wally-judge-1.html,,-2.40,2.30,-0.10,
/player/Philip-Jurick/Summary/5924,International,2011,12,Oklahoma State,/player/Philip-Jurick/Summary/5924=2011,/cbb/players/philip-jurick-1.html,,-1.40,8.20,6.80,
/player/Philip-Jurick/Summary/5924,International,2012,13,Oklahoma State,/player/Philip-Jurick/Summary/5924=2012,/cbb/players/philip-jurick-1.html,,-0.40,6.10,5.70,
/player/Tim-Kamczyc/Summary/15436,International,2010,11,Cleveland State,/player/Tim-Kamczyc/Summary/15436=2010,/cbb/players/tim-kamczyc-1.html,,0.50,2.20,2.60,
/player/Tim-Kamczyc/Summary/15436,International,2011,12,Cleveland State,/player/Tim-Kamczyc/Summary/15436=2011,/cbb/players/tim-kamczyc-1.html,,4.20,1.40,5.50,
/player/Tim-Kamczyc/Summary/15436,International,2012,13,Cleveland State,/player/Tim-Kamczyc/Summary/15436=2012,/cbb/players/tim-kamczyc-1.html,,0.20,-1.00,-0.80,
/player/Halil-Kanacevic/Summary/18675,International,2011,12,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2011,/cbb/players/halil-kanacevic-1.html,,0.30,5.00,5.30,
/player/Halil-Kanacevic/Summary/18675,International,2012,13,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2012,/cbb/players/halil-kanacevic-1.html,,-0.20,5.10,4.90,
/player/Halil-Kanacevic/Summary/18675,International,2013,14,Saint Joseph's,/player/Halil-Kanacevic/Summary/18675=2013,/cbb/players/halil-kanacevic-1.html,,2.40,5.20,7.60,
/player/DeAndre-Kane/Summary/7818,International,2010,11,Marshall,/player/DeAndre-Kane/Summary/7818=2010,/cbb/players/deandre-kane-1.html,,2.30,0.90,3.30,
/player/DeAndre-Kane/Summary/7818,International,2011,12,Marshall,/player/DeAndre-Kane/Summary/7818=2011,/cbb/players/deandre-kane-1.html,,3.00,1.00,4.00,
/player/DeAndre-Kane/Summary/7818,International,2012,13,Marshall,/player/DeAndre-Kane/Summary/7818=2012,/cbb/players/deandre-kane-1.html,,1.80,-1.40,0.40,
/player/DeAndre-Kane/Summary/7818,International,2013,14,Iowa State,/player/DeAndre-Kane/Summary/7818=2013,/cbb/players/deandre-kane-1.html,,5.40,3.50,8.90,
/player/Matt-Kavanaugh/Summary/10345,International,2010,11,Dayton,/player/Matt-Kavanaugh/Summary/10345=2010,/cbb/players/matt-kavanaugh-1.html,,-3.10,1.40,-1.70,
/player/Matt-Kavanaugh/Summary/10345,International,2011,12,Dayton,/player/Matt-Kavanaugh/Summary/10345=2011,/cbb/players/matt-kavanaugh-1.html,,2.30,0.60,2.90,
/player/Matt-Kavanaugh/Summary/10345,International,2013,14,Dayton,/player/Matt-Kavanaugh/Summary/10345=2013,/cbb/players/matt-kavanaugh-1.html,,1.00,2.20,3.20,
/player/Arsalan-Kazemi/Summary/7903,International,2010,11,Rice,/player/Arsalan-Kazemi/Summary/7903=2010,/cbb/players/arsalan-kazemi-1.html,,5.20,2.90,8.10,
/player/Arsalan-Kazemi/Summary/7903,International,2011,12,Rice,/player/Arsalan-Kazemi/Summary/7903=2011,/cbb/players/arsalan-kazemi-1.html,,3.60,5.70,9.30,
